[2025-01-04 13:01:55] [class-ss-archive-creation-job.php:97] Starting a job; no job is presently running
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\integrations\pro\class-shortpixel-integration.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/integrations/pro/class-shortpixel-integration.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\models\class-ss-model.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/models/class-ss-model.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\models\class-ss-page.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/models/class-ss-page.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\tasks\class-ss-cancel-task.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/tasks/class-ss-cancel-task.php
[2025-01-04 13:01:56] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\tasks\class-ss-create-zip-archive.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/tasks/class-ss-create-zip-archive.php
[2025-01-04 13:01:56] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\tasks\class-ss-fetch-urls-task.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/tasks/class-ss-fetch-urls-task.php
[2025-01-04 13:01:56] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\tasks\class-ss-generate-404-task.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/tasks/class-ss-generate-404-task.php
[2025-01-04 13:01:56] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\tasks\class-ss-setup-task.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/tasks/class-ss-setup-task.php
[2025-01-04 13:01:56] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\tasks\class-ss-task.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/tasks/class-ss-task.php
[2025-01-04 13:01:56] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\tasks\class-ss-transfer-files-locally-task.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/tasks/class-ss-transfer-files-locally-task.php
